contrato,linea,actualLargo,nuevoCorto,colorOperativo
XG881,100,Aeroporto de A Coruña-Concello de Sada (por Polígonos),D5,#2B2A29
XG881,101,Praza Galicia-Teatro Colón,B1,#008DD2
XG881,102,A Barcala-Univers. Laboral.-Teatro Colón,A1,#008DD2
XG881,103,A Patiña-Cambre-A Barcala-Univers. Laboral-Teatro Colón,A1,#008DD2
XG881,104,Sada hotel Sada Palace-Aeroporto de A Coruña (por Polígonos),D5,#2B2A29
XG881,105,Vilaboa Igrexa-Teatro Colón,SE,#3FC8EB
XG881,106,Puente de O Burgo-Teatro Colón,SE,#3FC8EB
XG881,107,Teatro Colón-Puente de O Burgo,SE,#3FC8EB
XG881,108,Teatro Colón-Parque Acuático Cerceda,SE,#3FC8EB
XG881,109,Parque Acuático Cerceda-Cerceda,SE,#3FC8EB
XG881,110,Oleiros (Concello)-Mera Nai Pai,SE,#3FC8EB
XG881,111,Couto Lorbé-Teatro Colón,SE,#3FC8EB
XG881,112,Cambre Pueblo-Teatro Colón,SE,#3FC8EB
XG881,113,Gasolinera Santa Cruz-Teatro Colón,SE,#3FC8EB
XG881,114,Lucín-Teatro Colón,SE,#3FC8EB
XG881,117,Mondego cruce Mosteirón - Sada hotel Sada Palace,SE,#3FC8EB
XG881,118,Mondego cruce Mosteirón - Teatro Colón,SE,#3FC8EB
XG881,119,Teatro Colón-A Silva (por Parque acuático Cerceda),C1,#009846
XG881,120,Concello de Sada - Lorbé,D10,#2B2A29
XG881,121,Lorbé - Concello de Sada,D10,#2B2A29
XG881,122,Concello de Sada-Carnoedo-Teatro Colón (por Rialta),B14,#FFDD00
XG881,123,Univers. Laboral-A Cabana-Os Campons-Carral Panteon-Tabeaio,D1,#008DD2
XG881,124,Teatro Colón-Santa Cruz-Rialta-Mera,B9,#FFDD00
XG881,125,Mera-Rialta-Santa Cruz-Teatro Colón,B9,#FFDD00
XG881,126,Teatro Colón-A Ponte Lago-Teatro Colón,A5,#009846
XG642,1,Mercado de San Xulián - Cooperativa O Val,L1,#008DD2
XG642,2,Mercado de San Xulián - A Graña,L2,#F6AD71
XG642,3,Mercado de San Xulián - San Felipe,L3,#E00F80
XG642,4,Mercado de San Xulián - Circular,L4,#C2A249
XG642,5,Hospital Novoa Santos - Mougá Escolar,L5,#54AF3A
XG642,6,San Pablo - Hospital Novoa Santos,L6,#F08365
XG642,7,Cemiterio - A Pedreira,L7,#97A59A
XG642,8,Praza de España - Claudina,L8,#D19563
XG642,9,CEIP San Xoán de Filgueira - San Pedro de Leixa,L9,#F5B2B6
XG642,10,Valón (Estrada) - San Felipe,L10,#714684
XG642,11,Cemiterio - Mougá,L11,#F7A707
XG642,12,CEIP de Pazos - O Cruce,L12,#2B2A29
XG642,13,Cee Terra de Ferrol - Canido,L13,#E5097F
XG642,14,Valón (estrada) - Claudina,L14,#1C427F
XG642,15,Valón (pobo) - Praza da Graña,L15,#9F2037
XG642,16,Canido - Canido,L16,#D12023
XG642,17,Mercado de San Xulián - Cooperativa O Val,L1,#008DD2
XG642,19,Canido - Canido,L16,#D12023
XG642,20,Porto - O Puntal,A,#FECC00
XG642,21,Porto - Hospital Novoa Santos,B,#E31E24
XG642,22,Hospital Novoa Santos - Porto,B,#E31E24
XG642,23,Canido - Hospital Novoa Santos,D,#00A0E3
XG642,24,Hospital Novoa Santos - Canido,D,#00A0E3
XG642,27,Canido - Praza da Graña,F,#009846
XG642,28,Praza da Graña - Canido,F,#009846
XG642,29,Praza da Graña - Couto,E-F,#8F411C
XG642,30,Praza de Galicia - Couto,E,#798388
XG642,31,Couto - Praza de Galicia,E,#798388
XG642,32,Praza Vella - Caranza,C,#C19FC1
XG642,33,Caranza - Praza Vella,C,#C19FC1
XG642,34,Porto - Hospital Naval,B,#E31E24
XG642,35,Hospital Naval - Porto,B,#E31E24
XG642,36,Canido - Hospital Naval,D,#00A0E3
XG642,37,Hospital Naval - Canido,D,#00A0E3
XG642,40,Porto - O Puntal (Navantia),A,#FECC00
XG642,41,Caranza - Canido,D,#00A0E3
XG642,42,Hospital Novoa Santos - Porto (Navantia),B,#E31E24
XG642,43,Ferrol - Praias,P,#B0CB1F
XG642,44,Nachiños Fest,SE,#3FC8EB
XG642,45,Serv. especial festas Ferrol,SE,#3FC8EB
XG642,48,Serv. especial festas Gándara,SE,#3FC8EB
XG642,49,Narón - Ferrol - A Malata,RF1,#3FC8EB
XG642,50,Caranza - Ferrol - A Malata,RF2,#3FC8EB
XG642,51,Equiocio Ferrol,SE,#3FC8EB
XG642,52,Circular Ensanche,G,#ad488c
XG642,53,Cooperativa O Val - Mercado de San Xulián,L1,#008DD2
XG642,54,Cooperativa O Val - Mercado de San Xulián,L1,#008DD2
